Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763042254,50,,Aggregated,3.100000,2.200000,5,9,21,23,32,49,160,19000,43000,43000,43000,850,629,5,390.81653022941475,2.04382800006897,43216.76128700005,1214.9917647058824
1763042255,50,,Aggregated,2.800000,1.900000,5,9,21,23,32,50,160,20000,44000,44000,44000,856,632,5,439.5717455654233,2.04382800006897,44031.18137799993,1207.893691588785
1763042256,50,,Aggregated,2.400000,1.800000,5,9,22,23,33,50,190,23000,44000,44000,44000,865,638,5,485.8508210127197,2.04382800006897,44031.18137799993,1220.0624277456648
1763042257,50,,Aggregated,2.000000,1.400000,5,9,22,23,33,50,190,23000,44000,44000,44000,870,641,5,483.16654323793387,2.04382800006897,44031.18137799993,1236.9379310344827
1763042258,50,,Aggregated,1.600000,0.900000,5,9,22,23,32,50,190,23000,44000,44000,44000,873,644,5,481.5251941901518,2.04382800006897,44031.18137799993,1233.044673539519
1763042259,50,,Aggregated,2.300000,1.500000,5,9,22,23,33,50,3400,24000,48000,48000,48000,876,644,5,534.3331718995463,2.04382800006897,47668.019082,1230.6735159817351
1763042260,50,,Aggregated,2.800000,1.800000,5,9,22,23,33,50,3400,24000,48000,48000,48000,878,644,5,533.1490488826909,2.04382800006897,47668.019082,1228.3314350797266
1763042261,50,,Aggregated,3.100000,2.100000,5,9,22,23,33,51,9600,25000,49000,49000,49000,879,644,5,587.9023476268516,2.04382800006897,48661.29864499999,1227.47212741752
1763042262,50,,Aggregated,3.400000,2.100000,5,9,22,23,33,51,12000,27000,49000,49000,49000,883,647,5,641.25994275878,2.04382800006897,49450.56789800003,1222.705549263873
1763042263,50,,Aggregated,3.600000,2.100000,5,9,22,23,33,51,12000,27000,49000,49000,49000,890,651,5,636.2716975179807,2.04382800006897,49450.56789800003,1214.3044943820225
1763042264,50,,Aggregated,3.600000,2.100000,5,9,22,23,33,51,12000,27000,52000,52000,52000,901,659,5,686.0836093285272,2.04382800006897,51852.09447300008,1202.023307436182
1763042265,50,,Aggregated,3.700000,2.100000,5,9,22,23,33,51,12000,27000,52000,52000,52000,905,659,5,683.1339551381249,2.04382800006897,51852.09447300008,1197.6055248618784
1763042266,50,,Aggregated,4.100000,2.200000,5,9,22,23,33,51,14000,30000,53000,53000,53000,909,662,5,738.0282654587492,2.04382800006897,52615.15770099993,1193.1749174917493
1763042267,50,,Aggregated,5.100000,3.000000,5,9,22,23,33,51,14000,30000,53000,53000,53000,911,662,5,736.4379739418256,2.04382800006897,52615.15770099993,1191.0
1763042268,50,,Aggregated,5.100000,3.000000,5,9,22,23,33,51,14000,30000,53000,53000,53000,911,662,5,736.4379739418256,2.04382800006897,52615.15770099993,1191.0
1763042269,50,,Aggregated,4.400000,2.400000,5,9,22,23,33,52,14000,40000,56000,56000,56000,912,662,5,797.0139066929859,2.04382800006897,55981.68864299999,1190.8475877192982
1763042270,50,,Aggregated,4.400000,2.400000,5,9,22,23,33,52,14000,40000,56000,56000,56000,912,662,5,797.0139066929859,2.04382800006897,55981.68864299999,1190.8475877192982
1763042271,50,,Aggregated,3.800000,1.800000,5,9,22,23,33,52,17000,43000,58000,58000,58000,916,665,5,856.7297062314444,2.04382800006897,57871.39934499998,1186.9989082969432
1763042272,50,,Aggregated,3.600000,1.800000,5,9,22,23,33,52,17000,43000,58000,58000,58000,924,672,5,849.35766945022,2.04382800006897,57871.39934499998,1177.9707792207791
1763042273,50,,Aggregated,3.400000,1.800000,5,9,22,23,33,52,19000,44000,59000,59000,59000,933,679,5,904.7728270728866,2.04382800006897,59306.773909999945,1168.4212218649518
1763042274,50,,Aggregated,3.700000,2.100000,5,9,22,23,36,62,30000,56000,60000,60000,60000,953,696,5,1326.5614247754495,2.04382800006897,60005.57551700001,1147.0619097586568
1763042275,50,,Aggregated,4.300000,2.800000,5,9,22,23,35,60,30000,56000,60000,60000,60000,977,715,5,1294.3537952139236,2.04382800006897,60005.57551700001,1183.9529170931423
1763042276,50,,Aggregated,5.200000,3.700000,5,11,22,24,38,67,49000,60000,60000,60000,60000,1017,749,5,1716.0524129075748,2.04382800006897,60006.342355000015,1260.770894788594
1763042277,50,,Aggregated,5.200000,3.700000,5,11,22,24,39,75,59000,60000,60000,60000,60000,1073,792,5,1962.4352727959033,2.04382800006897,60006.342355000015,1221.1379310344828
1763042278,50,,Aggregated,10.000000,8.000000,5,11,22,24,38,68,59000,60000,60000,60000,60000,1132,842,5,1913.7768373701433,2.04382800006897,60006.342355000015,1253.5856890459363
1763042279,50,,Aggregated,10.000000,8.000000,5,11,22,24,37,65,59000,60000,60000,60000,60000,1181,885,5,1885.5243845986474,2.04382800006897,60006.342355000015,1241.5080440304826
1763042280,50,,Aggregated,21.800000,17.800000,5,11,22,24,38,65,60000,60000,60000,60000,60000,1224,917,5,1917.7408157965706,2.04382800006897,60006.342355000015,1241.1576797385621
1763042281,50,,Aggregated,26.900000,22.300000,5,11,22,24,38,65,59000,60000,60000,60000,60000,1260,943,5,1863.4480020674607,2.0348030000150175,60006.342355000015,1251.9912698412697
1763042282,50,,Aggregated,26.900000,22.300000,5,11,22,24,37,63,59000,60000,60000,60000,60000,1290,965,5,1820.2845660434116,2.0348030000150175,60006.342355000015,1241.6403100775194
1763042283,50,,Aggregated,30.800000,25.200000,5,11,22,23,36,62,58000,60000,60000,60000,60000,1326,993,5,1771.0730646998504,2.021782000042549,60006.342355000015,1226.6568627450981
1763042284,50,,Aggregated,33.900000,27.400000,5,11,22,23,36,62,59000,60000,60000,60000,60000,1340,1004,5,1797.4543280014946,2.021782000042549,60006.342355000015,1230.3097014925372
1763042285,50,,Aggregated,36.600000,29.300000,5,10,22,23,36,60,58000,60000,60000,60000,60000,1361,1022,5,1769.7833712072024,2.021782000042549,60006.342355000015,1213.2770022042616
1763042286,50,,Aggregated,38.700000,30.800000,5,10,22,23,35,60,59000,60000,60000,60000,60000,1382,1038,5,1786.4213001591907,2.021782000042549,60006.342355000015,1211.4435600578872
1763042287,50,,Aggregated,38.700000,31.000000,5,10,22,23,36,62,60000,60000,60000,60000,60000,1399,1052,5,1807.7445136182998,2.021782000042549,60006.342355000015,1212.7197998570407
1763042288,50,,Aggregated,36.800000,29.200000,5,10,22,23,35,62,59000,60000,60000,60000,60000,1416,1063,5,1786.1208568149727,2.021782000042549,60006.342355000015,1200.0254237288136
